task id resource fire_time start_time end_time time execution_time upload_time cpu memory
mDiffFit 1365 fargate 272075 332686 333410 724 607 14 40 05 2
mProject 3359 fargate 262325 316516 337891 21375 188 20950 232 05 2
mDiffFit 504 fargate 282557 335894 336646 752 698 13 37 05 2
mDiffFit 4424 fargate 282086 336383 337190 807 695 18 89 05 2
mProject 174 fargate 272271 322134 339608 17474 226 17061 183 05 2
mDiffFit 4446 fargate 283360 337141 337872 731 672 13 42 05 2
mDiffFit 4111 fargate 283347 337531 338353 822 686 13 116 05 2
mProject 3344 fargate 262039 315789 341484 25695 196 25230 264 05 2
mProject 151 fargate 262046 316685 331404 14719 193 14323 197 05 2
mProject 1774 fargate 262542 316875 342752 25877 221 25392 259 05 2
mProject 3338 fargate 263177 317308 343768 26460 208 25796 451 05 2
mProject 197 fargate 263152 316668 342786 26118 201 25674 239 05 2
mProject 1658 fargate 272543 325156 342833 17677 172 17255 245 05 2
mProject 185 fargate 262274 318170 344139 25969 197 25570 197 05 2
mDiffFit 4562 fargate 293365 348308 349026 718 617 12 86 05 2
mProject 3402 fargate 273171 327182 353255 26073 205 25680 185 05 2
mProject 1831 fargate 272841 326439 352503 26064 259 25548 253 05 2
mDiffFit 1062 fargate 302309 356769 357509 740 694 13 28 05 2
mDiffFit 1363 fargate 302372 356403 357160 757 687 11 55 05 2
mDiffFit 2851 fargate 303450 357620 358272 652 608 13 28 05 2
mProject 3325 fargate 282090 335855 361350 25495 175 25113 202 05 2
mProject 132 fargate 282407 334608 360558 25950 202 25500 244 05 2
mProject 3365 fargate 282889 337490 363253 25763 191 25304 263 05 2
mProject 189 fargate 282278 335938 361867 25929 134 25564 227 05 2
mProject 1734 fargate 282605 336432 361921 25489 124 25114 245 05 2
mProject 3316 fargate 292173 345961 371642 25681 215 25205 256 05 2
mProject 1867 fargate 302629 353717 368231 14514 199 14137 172 05 2
mProject 93 fargate 292410 345922 367270 21348 189 20913 243 05 2
mDiffFit 417 fargate 312579 366443 367185 742 680 14 43 05 2
mProject 1771 fargate 292567 347226 368532 21306 200 20896 206 05 2
mDiffFit 4558 fargate 312180 366194 367069 875 703 12 99 05 2
mProject 1620 fargate 292367 345816 372099 26283 204 25829 246 05 2
mProject 3268 fargate 292614 345992 372055 26063 211 25588 260 05 2
mProject 1730 fargate 292296 346395 372019 25624 190 25119 311 05 2
mProject 192 fargate 293403 348113 367495 19382 204 18972 202 05 2
mProject 3326 fargate 292928 346624 372218 25594 193 25112 285 05 2
mProject 64 fargate 292088 346578 372628 26050 188 25614 245 05 2
mProject 139 fargate 302175 354969 381201 26232 242 25759 227 05 2
mProject 1779 fargate 302577 356357 382274 25917 194 25419 299 05 2
mProject 1678 fargate 302941 356216 381929 25713 200 25225 284 05 2
mProject 3269 fargate 302413 356350 382304 25954 231 25467 250 05 2
mProject 207 fargate 302093 356924 383098 26174 199 25764 205 05 2
mProject 1708 fargate 313543 367070 386818 19748 206 19323 214 05 2
mProject 91 fargate 312393 365808 387036 21228 130 20798 233 05 2
mDiffFit 3785 fargate 332444 386723 387460 737 694 12 26 05 2
mDiffFit 4119 fargate 332317 386924 387670 746 697 12 32 05 2
mProject 3337 fargate 303412 361684 387761 26077 188 25639 244 05 2
mProject 3419 fargate 312309 365681 391356 25675 195 25137 340 05 2
mProject 3245 fargate 312658 366514 392763 26249 214 25785 247 05 2
mProject 44 fargate 312983 366872 392546 25674 191 25217 263 05 2
mProject 1707 fargate 313542 370763 397043 26280 223 25812 242 05 2
mDiffFit 4417 fargate 342106 395240 395986 746 688 15 38 05 2
mProject 1826 fargate 322421 376111 395654 19543 206 19103 229 05 2
mProject 3416 fargate 312417 366169 391966 25797 181 25401 210 05 2
mProject 99 fargate 322186 367829 394459 26630 180 26213 233 05 2
mProject 20 fargate 322430 376149 395596 19447 184 19045 214 05 2
mProject 1619 fargate 312094 366330 392475 26145 119 25704 256 05 2
mProject 130 fargate 322316 371745 397614 25869 205 25415 245 05 2
mProject 1710 fargate 323707 373278 399665 26387 204 25986 194 05 2
mProject 1747 fargate 322578 377009 403158 26149 203 25693 250 05 2
mProject 1731 fargate 322095 376082 401767 25685 203 25261 212 05 2
mProject 196 fargate 323029 376750 402985 26235 212 25790 229 05 2
mDiffFit 2465 fargate 352469 406473 407211 738 683 13 39 05 2
mDiffFit 411 fargate 353807 407847 408575 728 602 80 40 05 2
mProject 1709 fargate 323705 378079 404321 26242 210 25856 172 05 2
mDiffFit 3802 fargate 352218 405718 406526 808 695 71 37 05 2
mDiffFit 3795 fargate 352461 406103 406850 747 689 13 42 05 2
mProject 32 fargate 322661 378348 404412 26064 224 25582 253 05 2
mProject 3349 fargate 332595 382480 408554 26074 206 25603 261 05 2
mProject 3444 fargate 342317 396306 410984 14678 196 14312 164 05 2
mDiffFit 1273 fargate 352730 405893 406621 728 680 17 28 05 2
mProject 1750 fargate 332191 386338 412419 26081 142 25692 244 05 2
mProject 3375 fargate 333724 387926 408870 20944 204 20513 223 05 2
mProject 3319 fargate 332098 388899 409870 20971 138 20582 247 05 2
mDiffFit 1099 fargate 364571 412090 412818 728 616 71 38 05 2
mProject 3443 fargate 332446 387028 412600 25572 185 25139 243 05 2
mDiffFit 2320 fargate 362107 415826 416555 729 619 74 31 05 2
mProject 161 fargate 342214 395223 416396 21173 190 20741 236 05 2
mProject 105 fargate 333055 388383 414479 26096 177 25712 203 05 2
mProject 83 fargate 334023 388334 414402 26068 214 25616 233 05 2
mProject 3404 fargate 332666 386678 412717 26039 195 25524 315 05 2
mDiffFit 4017 fargate 362737 415575 416302 727 675 13 34 05 2
mDiffFit 2531 fargate 362222 417636 418369 733 611 14 104 05 2
mProject 176 fargate 344041 398244 419282 21038 186 20611 237 05 2
mDiffFit 4265 fargate 363992 416480 417299 819 703 79 34 05 2
mDiffFit 1245 fargate 362455 416038 416764 726 608 79 36 05 2
mDiffFit 4429 fargate 362616 416305 417049 744 690 13 38 05 2
mDiffFit 4412 fargate 362328 415972 416712 740 683 14 38 05 2
mProject 136 fargate 343097 393407 419468 26061 213 25596 249 05 2
mProject 190 fargate 342601 395522 421636 26114 210 25679 221 05 2
mProject 1838 fargate 342451 395754 421793 26039 151 25577 240 05 2
mProject 146 fargate 352106 405574 423201 17627 189 17225 208 05 2
mProject 46 fargate 342685 396086 421980 25894 189 25412 289 05 2
mProject 1839 fargate 342453 396598 422385 25787 190 25333 261 05 2
mProject 1711 fargate 343774 397060 423048 25988 198 25527 260 05 2
mDiffFit 2839 fargate 362477 425021 425581 560 505 14 36 05 2
mProject 73 fargate 353117 405670 426556 20886 181 20434 267 05 2
mProject 3484 fargate 354069 403687 429829 26142 193 25718 228 05 2
mDiffFit 3958 fargate 372131 426078 426824 746 687 15 40 05 2
mDiffFit 4173 fargate 372479 425227 426049 822 760 13 43 05 2
mDiffFit 335 fargate 382333 433385 434125 740 617 74 45 05 2
mProject 1821 fargate 352615 405327 431757 26430 224 25974 227 05 2
mProject 3474 fargate 352317 405805 432042 26237 235 25755 243 05 2
mDiffFit 4159 fargate 375093 432328 433059 731 612 77 38 05 2
mDiffFit 1370 fargate 373993 430961 431686 725 611 69 41 05 2
mDiffFit 2831 fargate 382137 435266 435910 644 587 14 38 05 2
mDiffFit 365 fargate 382653 434008 434832 824 709 79 31 05 2
mProject 175 fargate 363141 416372 437523 21151 222 20769 156 05 2
mDiffFit 4166 fargate 383997 438056 438810 754 686 13 50 05 2
mDiffFit 2494 fargate 392663 441478 442211 733 671 13 44 05 2
mProject 85 fargate 372744 425461 442793 17332 180 16930 216 05 2
mDiffFit 2594 fargate 393251 446355 447166 811 690 13 102 05 2
